,Unnamed: 0,French,English
0,1,histoire,history
1,2,chercher,search
2,3,seulement,only
3,4,police,police
4,5,pensais,thought
5,6,aide,help
6,7,demande,request
7,8,genre,kind
8,9,mois,month
9,10,frère,brother
10,12,car,because
11,13,aucun,no
12,15,eux,them
13,16,ville,city
14,18,parlé,speak
15,19,arrivé,come
16,20,devrait,should
17,21,bébé,baby
18,22,longtemps,long time
19,23,heures,hours
20,24,vont,will
21,25,pendant,while
22,26,revoir,meet again
23,27,aucune,any
24,28,place,square
25,29,parle,speak
26,30,compris,understood
27,32,étaient,were
28,34,voici,here is
29,35,pourrais,could
30,36,affaire,case
31,37,donner,give
32,38,type,type
33,39,donné,given
34,40,train,train
35,41,corps,body
36,42,endroit,place
37,43,yeux,eyes
38,44,façon,way
39,46,dont,whose
40,47,trouve,find
41,48,main,hand
42,49,première,first
43,50,côté,side
44,51,pouvoir,power
45,52,vieux,old
46,54,tiens,here
47,55,matin,morning
48,56,tellement,so much
49,57,enfant,child
50,58,point,point
51,59,suite,after
52,60,venez,come
53,62,vers,towards
54,63,minutes,minutes
55,64,demandé,request
56,65,chambre,bedroom
57,66,mis,placed
58,67,belle,beautiful
59,68,droit,law
60,69,aimerais,would like to
61,70,aujourd'hui,today
62,71,mari,husband
63,72,cause,cause
64,73,enfin,finally
65,74,espère,hope
66,75,eau,water
67,76,attendez,Wait
68,77,parti,left
69,79,boulot,job
70,80,arrêter,Stop
71,81,dirait,would say
72,82,terre,Earth
73,83,compte,account
74,84,donne,given
75,85,loin,far
76,86,fin,end
77,87,croire,believe
78,88,chérie,sweetheart
79,89,gros,large
80,90,plutôt,rather
81,91,aura,will have
82,92,filles,girls
83,93,jouer,to play
